id,name,applicability
account_tag_SAFT_3042,"SAFT 3042",accounts
account_tag_SAFT_3043,"SAFT 3043",accounts
account_tag_SAFT_3044,"SAFT 3044",accounts
account_tag_SAFT_3050,"SAFT 3050",accounts
account_tag_SAFT_3051,"SAFT 3051",accounts
account_tag_SAFT_3052,"SAFT 3052",accounts
account_tag_SAFT_3060,"SAFT 3060",accounts
account_tag_SAFT_3061,"SAFT 3061",accounts
account_tag_SAFT_3070,"SAFT 3070",accounts
account_tag_SAFT_3071,"SAFT 3071",accounts
account_tag_SAFT_3080,"SAFT 3080",accounts
account_tag_SAFT_3085,"SAFT 3085",accounts
account_tag_SAFT_3090,"SAFT 3090",accounts
account_tag_SAFT_3100,"SAFT 3100",accounts
account_tag_SAFT_3105,"SAFT 3105",accounts
account_tag_SAFT_3110,"SAFT 3110",accounts
account_tag_SAFT_3180,"SAFT 3180",accounts
account_tag_SAFT_3200,"SAFT 3200",accounts
account_tag_SAFT_3201,"SAFT 3201",accounts
account_tag_SAFT_3202,"SAFT 3202",accounts
account_tag_SAFT_3203,"SAFT 3203",accounts
account_tag_SAFT_3204,"SAFT 3204",accounts
account_tag_SAFT_3205,"SAFT 3205",accounts
account_tag_SAFT_3210,"SAFT 3210",accounts
account_tag_SAFT_3300,"SAFT 3300",accounts
account_tag_SAFT_3360,"SAFT 3360",accounts
account_tag_SAFT_3370,"SAFT 3370",accounts
account_tag_SAFT_3380,"SAFT 3380",accounts
account_tag_SAFT_3390,"SAFT 3390",accounts
account_tag_SAFT_3400,"SAFT 3400",accounts
account_tag_SAFT_3401,"SAFT 3401",accounts
account_tag_SAFT_3440,"SAFT 3440",accounts
account_tag_SAFT_3441,"SAFT 3441",accounts
account_tag_SAFT_3450,"SAFT 3450",accounts
account_tag_SAFT_3455,"SAFT 3455",accounts
account_tag_SAFT_3460,"SAFT 3460",accounts
account_tag_SAFT_3470,"SAFT 3470",accounts
account_tag_SAFT_3480,"SAFT 3480",accounts
account_tag_SAFT_3481,"SAFT 3481",accounts
account_tag_SAFT_3485,"SAFT 3485",accounts
account_tag_SAFT_3486,"SAFT 3486",accounts
account_tag_SAFT_3490,"SAFT 3490",accounts
account_tag_SAFT_3491,"SAFT 3491",accounts
account_tag_SAFT_3492,"SAFT 3492",accounts
account_tag_SAFT_3493,"SAFT 3493",accounts
account_tag_SAFT_3495,"SAFT 3495",accounts
account_tag_SAFT_3500,"SAFT 3500",accounts
account_tag_SAFT_3501,"SAFT 3501",accounts
account_tag_SAFT_3502,"SAFT 3502",accounts
account_tag_SAFT_3503,"SAFT 3503",accounts
account_tag_SAFT_3504,"SAFT 3504",accounts
account_tag_SAFT_3505,"SAFT 3505",accounts
account_tag_SAFT_3506,"SAFT 3506",accounts
account_tag_SAFT_3507,"SAFT 3507",accounts
account_tag_SAFT_3509,"SAFT 3509",accounts
account_tag_SAFT_3510,"SAFT 3510",accounts
account_tag_SAFT_3511,"SAFT 3511",accounts
account_tag_SAFT_3516,"SAFT 3516",accounts
account_tag_SAFT_3517,"SAFT 3517",accounts
account_tag_SAFT_3520,"SAFT 3520",accounts
account_tag_SAFT_3530,"SAFT 3530",accounts
account_tag_SAFT_3540,"SAFT 3540",accounts
account_tag_SAFT_3541,"SAFT 3541",accounts
account_tag_SAFT_3542,"SAFT 3542",accounts
account_tag_SAFT_3550,"SAFT 3550",accounts
account_tag_SAFT_3551,"SAFT 3551",accounts
account_tag_SAFT_3554,"SAFT 3554",accounts
account_tag_SAFT_3556,"SAFT 3556",accounts
account_tag_SAFT_3560,"SAFT 3560",accounts
account_tag_SAFT_3590,"SAFT 3590",accounts
account_tag_SAFT_3600,"SAFT 3600",accounts
account_tag_SAFT_3610,"SAFT 3610",accounts
account_tag_SAFT_3620,"SAFT 3620",accounts
account_tag_SAFT_3630,"SAFT 3630",accounts
account_tag_SAFT_3640,"SAFT 3640",accounts
account_tag_SAFT_3650,"SAFT 3650",accounts
account_tag_SAFT_3700,"SAFT 3700",accounts
account_tag_SAFT_3750,"SAFT 3750",accounts
account_tag_SAFT_3760,"SAFT 3760",accounts
account_tag_SAFT_3800,"SAFT 3800",accounts
account_tag_SAFT_3900,"SAFT 3900",accounts
account_tag_SAFT_3990,"SAFT 3990",accounts
account_tag_SAFT_3999,"SAFT 3999",accounts
account_tag_SAFT_4000,"SAFT 4000",accounts
account_tag_SAFT_4010,"SAFT 4010",accounts
account_tag_SAFT_4012,"SAFT 4012",accounts
account_tag_SAFT_4014,"SAFT 4014",accounts
account_tag_SAFT_4016,"SAFT 4016",accounts
account_tag_SAFT_4019,"SAFT 4019",accounts
account_tag_SAFT_4030,"SAFT 4030",accounts
account_tag_SAFT_4031,"SAFT 4031",accounts
account_tag_SAFT_4050,"SAFT 4050",accounts
account_tag_SAFT_4052,"SAFT 4052",accounts
account_tag_SAFT_4054,"SAFT 4054",accounts
account_tag_SAFT_4060,"SAFT 4060",accounts
account_tag_SAFT_4062,"SAFT 4062",accounts
